customer_message,draft_reply,human_grounded,human_relevant,human_tone,human_actionable
For some reason it just arrived smh never mind cancel my anger,"Wonderful news, glad to hear all is well! Thanks for keeping us in the loop on this. ^BV",5,4,5,2
"Proposed solution was to cancel and reorder ($12 higher price now, out of stock for 2-4 weeks). Less available info from CS than my app.",Was this order being shipped or fulfilled by Amazon or was it sold and shipped by a third party seller?,4,3,3,3
I have written to them by my registered ID. Still waiting for response,We're right on it! We'll reach out to you soon. ^AG,4,4,4,2
".com. Order 5430161. Need an RA, Fedex label and an address to return pump",We ask you to avoid posting personal/account info as our page is public. Was this item shipped &amp; sold by a third-party seller? ^AC,4,3,3,3
I have always wanted to watch but never could until now... and I'm stoked! Thank you #PrimeTime,We're so glad to hear you're stoked! Enjoy the show. ^DG,5,5,5,3
you guys should make a sister app or a function of your app that shows up as “Santa’s Wish List” that kids could use to generate their wishlists. Then that would automatically add the list to a list on their parent’s amazon account.,Hi Alan. Thank you for your suggestion ^KK,5,5,5,2
So it looks like unfortunately the item won't ship to Canada. Thanks for the help anyways!,Anytime! Let us know if you need help with anything else! ^LS,5,4,5,3
The order still shows up and every 24 hours I'll get an email saying the payment was declined and when I change the billing stuff to the exact same one I'm using it goes back to normal for about 5 minutes.,"When you place an order, Amazon contacts the issuing bank to confirm the payment method is valid. This can be done by holding the full amount the item costs. It would be best to get in touch with your bank to see if there is any issue on their end. ^ES",4,4,4,4
Thank you. I've asked for a replacement as of now assuming it's a wrong shipment. I'll wait for the replacement and then get back to you.,Thank you for writing back to us. Please keep us posted if you face any issues further. ^BV,5,3,4,2
"Ordered it last Tuesday, admittedly on standard post but an email was saying an issue with payment which I tried to fix and just wanted to know if it was dispatched and didn’t want to be charged twice.",Is it possible that you are seeing an authorisation on your statement: ^JJ,4,4,3,3
"how do i make a complaint? I received a few items today, the box was battered and one of the items were partly damaged!","Hi Hayley, i'm sorry to hear that. You can arrange a return via our online returns centre: and you can submit your feedback here: Let me know if there's anything else we can do for you. ^TI",4,5,4,5
Why do I have amazon prime if all my packages get delayed? 🙄,I'm sorry for the wait for your orders. Have they missed the delivery estimate given at Checkout? ^DO,4,4,4,3
"pepper spray bottle I ordered from you is defective. Don't even want to try fixing it,with fear of harming myself or someone else.",Apologies for the trouble. Kindly connect with us here: and we'll sort this out for you. ^PB,4,4,3,4
"Useless prime membership, I haven't received my phone and got msg product delivered. Let's hope you will repay my money back.","Sorry to know you haven't received your package. Certainly not intended, connect with us here: ^PS",4,3,4,3
"1 order delayed. and another late, what am i paying for Prime for, you better get your act together.","I'm terribly sorry for the delays with your orders! Have you been provided new delivery dates? If not, please reach us here: for available options. ^EZ",4,4,5,4
"I've been waiting for a package since saturday. Still didn't receive anything. Intelcom apparently tried to deliver and said I was not present, though both me and my girlfriend were there. They don't return calls or emails... 4 days after using #Prime. So deceiving!!",I'm so sorry to hear that! Please contact us directly so we can take a closer look: ^BG,4,4,4,4
"I'm locked out, can you have an account specialist call me. user id: __email__ - phone support not helping.",I'm sorry for the account issues! Have you received an e-mail regarding your account? What insight did we provide? ^MH,4,3,4,3
"I am waiting for now 3 months to get my money back, but i always get to wait more and more. 1/2",Sorry for the delay Pranjal. Please share your details here: and I'll get back to you. ^HN,4,4,4,4
Can you help me? My account unlock because my billing address. I sented every day my bank statement but noone answer and fix it!,I'm sorry for the account issues! Have you received any further e-mails from an account specialist? ^TR,4,3,4,3
One items boxed is crushed and bent (supposed to be an xmas present' and the book is scuffed all along the side (once again-a present.) never had this issue with you before and I shop with you loads,"It's never our intention to inconvenience you. If need be, please see any and all return or replacement options here: ^CS",4,4,4,4
my registered email to u is __email__ can access there.,"Twitter being a social media platform, we'll not be able to access your Amazon account via Twitter. Kindly share your details on the link provided earlier. Also, Please don't provide your email address, as we consider it to be personal information. ^AP",4,4,3,4
my card was charged twice for an order I did last week. Help!,"I'm sorry! What form of payment did you use (i.e. credit, debit, gift card)? Is the charge pending or posted to your acct? ^SH",4,4,4,4
"ok, so I purchased a motinor which is defective and you guys considering it to be replaced rather than retrun which in turn I agree to order from amazon again buy not the same brand as box piece is defective, I want different brand option. Can you help me with this issue.",I understand your concern. I’d like to look into the issue and help you. Please fill this form: and we’ll contact you soon ^RI,4,3,4,4
I did but it didn't help. I either send it back and don't have it for my collection or I keep the broken one.,We would not be able to replace the order as the product is not our own. Is the item no longer available from the seller? ^CR,4,3,3,3
Yes! I am. For Nov. 6th! I don't even know why. That's why I've decided to cancel my #AmazonPrime,"I can understand why you're concerned, Roxanna! Is it possible you have multiple accounts or have you let a friend or family member use your card recently? Let us know - we want to ensure this is properly addressed! ^CS",3,2,4,3
I am not interested anymore in buying it from your website. Let me see how much time u guys take to deliver it. I will definitely return that,Sorry for the bad experience. I'll be sure to pass on your comments to the concerned team. You may get in touch with our support team for further assistance. ^NS,4,3,3,3
"Is there a way for me to specify that it be delivered before noon? I work afternoon shifts, I don’t want the same thing to happen tomorrow.","I understand your concern. We're unable to view your Amazon account or order details via Twitter. Have you had a change to contact us to go over your options, via the link provided by FJ? ^NN",4,3,4,3
"You see I am new to Amazon, I do not know how to select shipping speed but I am shipping it to my country Slovenia",You'll be asked to select a shipping speed during the checkout process! This might help: ^AB 2/2,4,5,4,4
