customer_tweet_id,customer_message,brand_reply,coverage_bucket,intent,escalate_gold,notes
1054087,y’all are killing me. I was on the phone for an hour yesterday. I was promised that this item would be here today. HELP!!!!,"I'm so sorry for the delay, Kelly! Did you receive emails explaining the delay? Was this sold by Amazon or third-party? ^FR",medium__no_keyword_match,delivery_delay_or_missing,True,References a broken promise from a prior phone call yesterday -> counted as repeat/unresolved contact for escalation.
2917199,order has been out for delivery with Intelcom since Sunday and its Tuesday and they are not answering the phone or replying to emails. I WANT MY ORDER #reallypissed #intel worst courtier,"I'm sorry for the poor experience! This isn't the expectation we've set. We'd like to look into this with you. When you have a moment, please contact us by phone or chat here: ^AC",long__complaint_escalation,complaint_escalation,True,
2728886,you guys should make a sister app or a function of your app that shows up as “Santa’s Wish List” that kids could use to generate their wishlists. Then that would automatically add the list to a list on their parent’s amazon account.,Hi Alan. Thank you for your suggestion ^KK,long__no_keyword_match,general_product_question,False,
2455242,You know what I hate when two day shipping turns into two weeks later.,"Oh no! Some products require additional processing time while Two-Day shipping refers to transit time, in business days, once the item has shipped. Have we missed the expected delivery date listed in your confirmation e-mail? Check here: ^KL",short__no_keyword_match,delivery_delay_or_missing,False,
1583696,Since my account has been compromised and the password changed I cannot do this,Please click the skip sign-in beneath the gold sign-in button using the link SG provided. ^GR,short__account_access_issue,account_access_issue,True,
1396684,We’re all just numbers to them Carole... this is my delivery this week from .. broken to bits!!,"Oh my, that's not good! We'd like the chance to take a closer look at this with you here: ^KP",medium__product_defect_or_wrong_item,product_defect_or_wrong_item,False,
2280463,Yes i have now reset my password will keep an eye on it and make sure no more prime membership emails are sent,Thank you for letting us know! Please keep us updated if you need any more assistance. ^LR,medium__account_access_issue,account_access_issue,False,Message is a resolved follow-up (password already reset); no outstanding action despite account_access_issue bucket.
2950888,Just ordered a new bed! :3 thank you,Glad we could be of service! ^TR,short__positive_feedback,positive_feedback,False,
191725,: please let me know what to make of this. Thanks.,We'd like to help. Did you receive your parcel? ^KH,short__positive_feedback,other_unclassified,True,"Message alone lacks any stated issue ('please let me know what to make of this'); topic not inferable without brand-reply context. other_unclassified, human review recommended."
1086762,What is it w/ 😕 love the products and finding/buying from website BUT the delivery service needs looked at! 19:34 and still no item 😲,I'm sorry for the poor experience! Do you have a current order that is late/delayed that we can help you with? ^ZW,long__positive_feedback,delivery_delay_or_missing,False,coverage_bucket keyword guess (positive_feedback) is wrong; content is a live delivery complaint.
2536341,Hi team When I logged in to amazon it's showing incorrect password please resolve my issue,"Hi Razak, how long have you had this issue? Have you tried requesting a new password by clicking on ""forgot password"" link? ^SA",medium__account_access_issue,account_access_issue,False,
1227249,".com. Order 5430161. Need an RA, Fedex label and an address to return pump",We ask you to avoid posting personal/account info as our page is public. Was this item shipped &amp; sold by a third-party seller? ^AC,short__refund_or_return,refund_or_return,True,Return request includes an order number and address posted publicly on a support handle.
